"","year","plan_name","state","return_1yr","ava_return","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","mva_smooth","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","asset_valuation_method_for_gasb_reporting","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_nc_dollar","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"1979",2001,"Texas Employees Retirement System","Texas","-0.0691",NA,"Entry Age Normal","1.049","18394458000","18061522186",NA,"17527695642",NA,"238289602","1.183","281906468","0.06","Level Percent Open","-829784630","919386130","-91799594","-11830381",NA,"20 percent of the difference of the expected and actual investment experience","4946243937","286981910","0.06","281906470",NA,"302570000","0.06","26691748",NA,2002,NA,"0.08","0.08","40.0","0.04","-0.00667","595580130","0.12667",NA,NA,NA,"Plan covers state and local employees","-866762424",NA
"1980",2002,"Texas Employees Retirement System","Texas","-0.072","0.046","Entry Age Normal","1.025","18909072000","16447568765",NA,"18449520698",NA,"288814605","1.042","300969118","0.06","Level Percent Open","-910597810","977428940","-70030859","-12499559",NA,"20 percent of the difference of the expected and actual investment experience","4979531987","319565500","0.06","300969130",NA,"325153000","0.06","32337453",NA,2003,NA,"0.08","0.08","40.0","0.04","-0.00709","652872060","0.12709",NA,NA,NA,"Plan covers state and local employees","-459551020",NA
"1981",2003,"Texas Employees Retirement System","Texas","0.089","0.053","Entry Age Normal","0.976","19478556000","17467352722",NA,"19959111546",NA,"311800224","0.967","301555437","0.06","Level Percent Open","-1012564900","1044307900","-73437836","-12364102",NA,"20 percent of the difference of the expected and actual investment experience","4800611900","324000060","0.06","301555440",NA,"330165000","0.06817","37363879",NA,2004,NA,"0.08","0.08","40.0","0.04","0.00559","662919380","0.12258",NA,NA,NA,"Plan covers state and local employees","480556553",NA
"1982",2004,"Texas Employees Retirement System","Texas","0.116","0.064","Entry Age Normal","0.973","20036648000","18797737524",NA,"20591847998",NA,"312285035","0.893","278844513","0.06","Level Percent Open","-1192262600","1090042000","-83779000","-12447538",NA,"20 percent of the difference of the expected and actual investment experience","4616760675","300155780","0.06","278844500",NA,"330165000","0.07121","45130344",NA,2005,NA,"0.08","0.08","40.0","0.04","0.00671","624130630","0.1245",NA,NA,NA,"Plan covers state and local employees","555201436",NA
"1983",2005,"Texas Employees Retirement System","Texas","0.126","0.075","Entry Age Normal","0.948","20835468000","20448700225",NA,"21969670180",NA,"321859685","0.8580000000000001","276034664","0.0645","Level Percent Open","-1208600400","1162022000","-89759680","-13219650",NA,"20 percent of the difference of the expected and actual investment experience","4842525200","305869810","0.06","276034660",NA,"316913000","0.07587","50019734",NA,2006,NA,"0.08","0.08","40.0","0.04","0.01307","631924190","0.1228",NA,NA,NA,"Plan covers state and local employees","1134201308",NA
"1984",2006,"Texas Employees Retirement System","Texas","0.088","0.077","Entry Age Normal","0.952","21780436000","21548112355",NA,"22884917422",NA,"362753541","0.8720000000000001","316201394","0.0645","Level Percent Open","-1253322800","1194075000","-75614031","-13263934",NA,"20 percent of the difference of the expected and actual investment experience","5051330334","342152120","0.06","329802880",NA,"317235000","0.072","58605656",NA,2007,NA,"0.08","0.08","30.0","0.04","0.0122","704606380","0.1198",NA,NA,NA,"Plan covers state and local employees","1104480064",NA
"1985",2007,"Texas Employees Retirement System","Texas","0.139","0.086","Entry Age Normal","0.956","22938948000","23479671451",NA,"23987165000",NA,"370495683","0.8890000000000001","329639505","0.0645","Level Percent Open","-1373713300","1248069500","-7913660","-15991079",NA,"5-year smoothed market value.","5253723000","328038932","0.06","329981060",NA,"378519000","0.071","48538426",NA,2008,NA,"0.08","0.08","30.0","0.04","0.0112","706558380","0.1198",NA,NA,NA,"Plan covers state and local employees","1048218000",NA
"1986",2008,"Texas Employees Retirement System","Texas","-0.046","0.057","Entry Age Normal","0.926","23511918000","21464265123",NA,"25403280000",NA,"378236402","0.9029999999999999","341733887","0.0645","Level Percent Open","-1362182500","1314069300","-74504164","-16248925",NA,"5-year smoothed market value.","5379527000","337040170","0.06","342092160",NA,"415058000","0.0945","52774008",NA,2009,NA,"0.08","0.08","30.0","0.035","0.0208","731906310","0.1337",NA,NA,NA,"Plan covers state and local employees","1891362000",NA
"1987",2009,"Texas Employees Retirement System","Texas","-0.066","0.032","Entry Age Normal","0.898","23509622000","19097775053",NA,"26191650000",NA,"529887917","0.684","362762727","0.0645","Level Percent Open","-1435235400","1377430300","-70958141","-17321279",NA,"20 percent of the difference of the expected and actual investment experience","5814417000","353298711","0.0645","363022720",NA,"440815000","0.0939","57135137",NA,2010,NA,"0.08","0.08","30.0","0.035","0.0346","773456560","0.1238",NA,NA,NA,"Plan covers state and local employees","2682028000",NA
"1988",2010,"Texas Employees Retirement System","Texas","0.067","0.036","Entry Age Normal","0.854","23628568000","19580610447",NA,"27668876000",NA,"630326400","0.634","400251762","0.0695","Level Percent Open","-1508670800","1457065500","-65333535","-18959480",NA,"20 percent of the difference of the expected and actual investment experience","5930141000","410134306","0.065","400251750",NA,"420158000","0.1057","61583090",NA,2011,NA,"0.08","0.08","30.0","0.035","0.0477","871969130","0.123",NA,NA,NA,"Plan covers state and local employees","4040309000",NA
"1989",2011,"Texas Employees Retirement System","Texas","0.126","0.05","Entry Age Normal","0.845","23997444000","21204091002",NA,"28398213000",NA,"707136803","0.585","414083912","0.06","Level Percent Open","-1597679000","1552999300","-79535156","-18849787",NA,"20 percent of the difference of the expected and actual investment experience","5795185000","425811039","0.065","414083910",NA,"438312000","0.1097","64772469",NA,2012,NA,"0.08","0.08","30.0","0.035","0.0516","904667440","0.1231",NA,NA,NA,"Plan covers state and local employees","4400768000",NA
"1990",2012,"Texas Employees Retirement System","Texas","0.082","0.054","Entry Age Normal","0.826","24272514000","21825643968",NA,"29377069000",NA,"704853684","0.4920000000000001","347081275","0.065","Level Percent Open","-1716466600","1650519600","-88068789","-17819313",NA,"20 percent of the difference of the expected and actual investment experience","5676509000","411065743","0.065","347121280",NA,"418104000","0.1175","70985961",NA,2013,NA,"0.08","0.08","30.0","0.035","0.0594","829173000","0.1231",NA,NA,NA,"Plan covers state and local employees","5104555000",NA
"1991",2013,"Texas Employees Retirement System","Texas","0.101","0.061","Entry Age Normal","0.774","24667640000","22868542011","22868542011","31886026375",NA,"741730370","0.507","375736733","0.08","Level Percent Open","-1823062600","1730993800","-86668133","-18660936",NA,"20 percent of the difference of the expected and actual investment experience","5959473223","422588192","0.066","375736720",NA,"458367000","0.1213","75513148",NA,2014,NA,"0.08","0.08","31.0","0.035","0.0716","873838060","0.1157",NA,NA,NA,"Plan covers state and local employees","7218387271",NA
"1992",2014,"Texas Employees Retirement System","Texas","0.147","0.076","Entry Age Normal","0.772","25431922000","25050116469","25050116469","32924737211","39510916574","727892190","0.66251","482239018","0.08","Level Percent Open","-1936746600","1835520300","-106809180","-20194988",NA,"20 percent of the difference of the expected and actual investment experience","6171443191","430594897","0.069","482329030",NA,"590251000","0.1186","80163844",NA,2015,NA,"0.08","0.08","31.0","0.035","0.0718","993087750","0.1158",NA,NA,NA,"Plan covers state and local employees","7492814715",NA
"1993",2015,"Texas Employees Retirement System","Texas","0.005","0.061","Entry Age Normal","0.763","25850542000","23998481161","23998481161","33868359950","37264925000","737111060","0.67886","500394986","0.1","Level Percent Open","-2046119500","1940308300","-87166789","-21839627",NA,"20 percent of the difference of the expected and actual investment experience","6659646892","462159534","0.095","500510000",NA,"611298000","0.1012","84059352",NA,2016,NA,"0.08","0.08","31.0","0.035","0.0735","1046728900","0.1227",NA,NA,NA,"Plan covers state and local employees","8017817926",NA
"1994",2016,"Texas Employees Retirement System","Texas","0.053","0.059","Entry Age Normal","0.752","26557130000","24465580124","24465580124","35303165362","44222557000","679806000","1.01023","686763354","0.1","Level Percent Open","-2151604300","2040687800","-84444508","-20448668",NA,"20 percent of the difference of the expected and actual investment experience","6806457317","674677886","0.095","686840880",NA,"663987000","0.1038","88854383",NA,2017,NA,"0.08","0.08","31.0","0.035","0.076","1450373100","0.1228",NA,NA,NA,"Plan covers state and local employees","8746034657",NA
"1995",2017,"Texas Employees Retirement System","Texas","0.1215","0.028","Entry Age Normal","0.701","26371828000","26371827298","26371827298","37629785374","48236427000","713527810","0.98115","700078188","0.1","Level Percent Open","-2260883800","2144980500","-120943780","-23095408",NA,"20% of market plus 80% of expected actuarial value.","6796226304","685461587","0.095","700142190",NA,NA,"0.1371","93321906",NA,2018,NA,"0.075","0.075","31.0","0.025","0.0926","1478925600","0.1395",NA,NA,NA,"Plan covers state and local employees","11257958076",NA
"1996",2018,"Texas Employees Retirement System","Texas","0.0958","0.079","Entry Age Normal","0.702","27359944000","27753334784","27753334784","38989263562","47944313000","933915000","0.74652","697189414","0.1","Level Percent Open","-2379144500","2258946500","-123948290","-23549965",NA,"5-years smooth merket","6875886920","683932829","0.095","697225940",NA,"820398208000","0.1362","97061016",NA,2019,NA,"0.075","0.075","31.0","0.025","0.0926","1478219800","0.1386",NA,NA,NA,"Plan covers state and local employees","11629320446",NA
"1997",2019,"Texas Employees Retirement System","Texas","0.0304","0.069","Entry Age Normal","0.705","28060120000","27351224157","27351224157","39801358678","57336383000","946266500","0.75312","712647639","0.1","Level Percent Open","-2500214500","2377402300","-142303190","-27751615",NA,"5-years smooth merket","6984576697","694788598","0.095","712647630",NA,NA,"0.1376","102787420",NA,2020,NA,"0.075","0.075","31.0","0.025","0.095","1510223600","0.1376",NA,NA,NA,"Plan covers state and local employees","11741238455","0.025"
"1998",2020,"Texas Employees Retirement System","Texas","0.0685","0.061","Entry Age Normal","0.66","28543208000","27946206540",NA,"43258312073","65936877000","985000690","0.74706","735855712","0.1","Level Percent Open","-2607078300","2472894000","-121569460","-24182434",NA,"5-years smooth merket","7221558595","713985036","0.095","735903190",NA,NA,"0.1598","107757220",NA,2021,NA,"0.07","0.07","31.0","0.023","0.1132","1557645500","0.1383",NA,NA,NA,"Plan covers state and local employees","14715104328","0.023"
"1999",2001,"Texas Municipal Retirement System","Texas","0.085",NA,"Projected Unit Credit.","0.849","9236600000","8635264497",NA,"10875700000",NA,"323900000","1",NA,NA,"Level Percent Open","-363512060","329195000","48564000","-6768047",NA,"Amortized cost","3061000000","192905967",NA,"323861840",NA,"0",NA,"0",NA,2003,NA,"0.08","0.08","25.0",NA,NA,"516767810",NA,NA,NA,NA,"Plan covers local employees","1639100000",NA
"2000",2002,"Texas Municipal Retirement System","Texas","0.173",NA,"Projected Unit Credit.","0.842","9998700000","10204869010",NA,"11868100000",NA,"353600000","1",NA,NA,"Level Percent Open","-359597720","362750000","-39849406","-8389416",NA,"Amortized cost","3277400000","207927871",NA,"353646160",NA,"0",NA,"0",NA,2004,NA,"0.08","0.08","25.0",NA,NA,"561574000",NA,NA,NA,NA,"Plan covers local employees","1869400000",NA
"2001",2003,"Texas Municipal Retirement System","Texas","0.017",NA,"Projected Unit Credit.","0.826","10815100000","10557514220",NA,"13100100000",NA,"371300000","1",NA,NA,"Level Percent Open","-402230340","407241000","-40498176","-8190041",NA,"Amortized cost","3426600000","218080501",NA,"371308530",NA,"0",NA,"0",NA,2005,NA,"0.07","0.07","25.0",NA,NA,"589389060",NA,NA,NA,NA,"Plan covers local employees","2285000000",NA
"2002",2004,"Texas Municipal Retirement System","Texas","0.128",NA,"Projected Unit Credit.","0.828","11619100000","11934596742",NA,"14036900000",NA,"401400000","1",NA,NA,"Level Percent Open","-442064160","442657000","-45644566","-8454435",NA,"Amortized cost","3580300000","230042992",NA,"401399630",NA,"0",NA,"0",NA,2006,NA,"0.07","0.07","25.0",NA,NA,"631442630",NA,NA,NA,NA,"Plan covers local employees","2417800000",NA
"2003",2005,"Texas Municipal Retirement System","Texas","0.106",NA,"Projected Unit Credit.","0.827","12486100000","13266433447",NA,"15095200000",NA,"446300000","1",NA,NA,"Level Percent Open","-501684690","442064000","-48561266","-9677961",NA,"Amortized cost","3721900000","241695424",NA,"446302470",NA,"0",NA,"0",NA,2007,NA,"0.07","0.07","25.0",NA,NA,"687997880",NA,NA,NA,NA,"Plan covers local employees","2609100000",NA
"2004",2006,"Texas Municipal Retirement System","Texas","0.008",NA,"Projected Unit Credit.","0.821","13312700000","13508839846",NA,"16219700000",NA,"470700000","1",NA,NA,"Level Percent Open","-543688250","515073000","-48991125","-11176096",NA,"Amortized cost","3949200000","257268310",NA,"470710470",NA,"0",NA,"0",NA,2008,NA,"0.07","0.07","25.0",NA,NA,"727978750",NA,NA,NA,NA,"Plan covers local employees","2907000000",NA
"2005",2007,"Texas Municipal Retirement System","Texas","0.079","0.056","Projected Unit Credit.","0.737","14203300000","14715861381",NA,"19278800000",NA,"512900000","1",NA,NA,"Level Percent Closed","-596172440","545777000","-52621941","-11504442",NA,"Amortized cost","4221300000","276000000","0.06538","512946910",NA,"0","0.1599","0",NA,2009,NA,"0.07","0.07","30.0","0.03","0.0646","788929000","0.16068",NA,NA,NA,"Plan covers local employees","5075500000",NA
"2006",2008,"Texas Municipal Retirement System","Texas","-0.018","0.054","Projected Unit Credit.","0.744","15149700000","14609961771",NA,"20361000000",NA,"564700000","1.004427129449265",NA,NA,"Level Percent Closed","-649259940","655975000","-49086820","-11672174",NA,"Amortized cost","4592000000","298000000","0.06577","567236250",NA,"0","0.1675","0",NA,2010,NA,"0.07","0.07","30.0","0.03","0.0682","865190250","0.16507",NA,NA,NA,"Plan covers local employees","5211000000",NA
"2007",2009,"Texas Municipal Retirement System","Texas","0.1",NA,"Projected Unit Credit.","0.758","16305700000","16305675643",NA,"21525000000",NA,"757100000","0.8475762779025228",NA,NA,"Level Percent Closed","-686996440","685692000","-45307488","-10509869",NA,"10-years smoothed market value.","4852000000","313475829","0.06573","641747250",NA,"0","0.1641","0",NA,2011,NA,"0.07","0.07","30.0","0.03","0.0657","955223060","0.16413",NA,NA,NA,"Plan covers local employees","5219000000",NA
"2008",2010,"Texas Municipal Retirement System","Texas","0.09",NA,"Projected Unit Credit.","0.829","16986000000","17992493870",NA,"20481000000",NA,"771900000","0.8800362741287732",NA,NA,"Level Percent Closed","-744779380","743468000","-49041629","-10634956",NA,"10-years smoothed market value.","4970000000","315643308","0.06579","679270750",NA,"0","0.1331",NA,NA,2012,NA,"0.07","0.07","30.0","0.03","0.0425","994914060","0.15639",NA,NA,NA,"Plan covers local employees","3495000000",NA
"2009",2011,"Texas Municipal Retirement System","Texas","0.023",NA,"Projected Unit Credit.","0.851","18347000000","18571293924",NA,"21562526936",NA,"764400000","0.9207221350078493",NA,NA,"Level Percent Closed","-811648810","751350000","-55666289","-11439672",NA,"10-years smoothed market value.","5058000000","318986168","0.06573","703778750",NA,"0","0.1322",NA,NA,2013,NA,"0.07","0.07","30.0","0.03","0.0395","1022764900","0.15843",NA,NA,NA,"Plan covers local employees","3216312777",NA
"2010",2012,"Texas Municipal Retirement System","Texas","0.099",NA,"Projected Unit Credit.","0.872","19784800000","20490599022","20490599022","22683074948",NA,"654300000","1.0154363441846248",NA,NA,"Level Percent Closed","-864937060","783234690","-57842723","-12114375",NA,"10-years smoothed market value.","5184000000","327363043","0.06598","664852440",NA,"0","0.131",NA,NA,2014,NA,"0.07","0.07","30.0","0.03","0.0359","992215500","0.16108",NA,NA,NA,"Plan covers local employees","2898918130",NA
"2011",2013,"Texas Municipal Retirement System","Texas","0.096",NA,"Entry Age Normal","0.841","21292992000","22468633624","22468633624","25320135845",NA,"680600000","1.0002938583602703",NA,NA,NA,"-946496500","745687000","-57727676","-12821721",NA,"10-years smoothed market value.","5359000000","339906924","0.0661","681469250",NA,"0","0.1297",NA,NA,2015,NA,"0.07","0.07",NA,"0.03","0.0514","1021376100","0.1444",NA,NA,NA,"Plan covers local employees","4027144556",NA
"2012",2014,"Texas Municipal Retirement System","Texas","0.057",NA,"Entry Age Normal","0.858","22860398000","23727477926","23727477926","26646875266",NA,"719904310","1.0",NA,NA,"Level Percent Open","-1028572100","729653000","-58723121","-13419567",NA,"10-years smoothed market value.","5575000000","355413935","0.06612","719904310",NA,"0","0.1263",NA,NA,2016,NA,"0.07","0.07","25.0","0.03","0.0477","1075318300","0.14472",NA,NA,NA,"Plan covers local employees","3786476451",NA
"2013",2015,"Texas Municipal Retirement System","Texas","0.001","0.0669","Entry Age Normal","0.858","24347200000","23708162580","23708162580","28378352783",NA,"751708690","1.0",NA,NA,"Level Percent Open","-1102785000","878833000","-56975270","-21325422",NA,"10-years smoothed market value.","5851000000","376103505","0.06617","751708690",NA,"0","0.1324",NA,NA,2017,NA,"0.0675","0.0675","25.0","0.03","0.0483","1127812300","0.15027",NA,NA,NA,"Plan covers local employees","4031152205",NA
"2014",2016,"Texas Municipal Retirement System","Texas","0.067","0.0644","Entry Age Normal","0.863","25843568000","25233205773","25233205773","29962754323",NA,"768252310","1.0",NA,NA,"Level Percent Open","-1162064100","954624000","-54181594","-18095314",NA,"10-years smoothed market value.","6122000000","389919391","0.06369","768252310",NA,"0","0.1327",NA,NA,2018,NA,"0.0675","0.0675","25.0","0.03","0.0486","1158171800","0.14779",NA,NA,NA,"Plan covers local employees","4119186906",NA
"2015",2017,"Texas Municipal Retirement System","Texas","0.138","0.0711","Entry Age Normal","0.874","27813136000","28649374617","28317525591","31811126506","0","838363130","1.0",NA,NA,"Level Percent Open","-1251406500","174772379","-59405910","-18124164",NA,"10-years smoothed market value.","6396000000","410527770","0.06419","838363130",NA,"0","0.1309",NA,NA,2019,NA,"0.0675","0.0675","25.0","0.03","0.0466","1248890900","0.14849",NA,NA,NA,"Plan covers local employees","3997991175",NA
"2016",2018,"Texas Municipal Retirement System","Texas","-0.031","0.0606","Entry Age Normal","0.871","29384706000","27683629439","27354504430","33731025512",NA,"881531560","1.0",NA,NA,"Level Percent Open","-1335253800","193665861","-64255859","-16585865",NA,"10-years smoothed market value.","6664000000","427808238","0.0642","881531560",NA,"0","0.1358",NA,NA,2020,NA,"0.0675","0.0675","25.0","0.03","0.0497","1309339800","0.1503",NA,NA,NA,"Plan covers local employees","4346320048",NA
"2017",2019,"Texas Municipal Retirement System","Texas","0.154","0.0694","Entry Age Normal","0.88","31313456000","31813811275",NA,"35584488989",NA,"930236130","1.0",NA,NA,"Level Percent Open","-1445552400","560741405","-62685941","-24183037",NA,"10-years smoothed market value.","6985000000","453608174","0.0668","930236130",NA,NA,"0.1365",NA,NA,2021,NA,"0.0675","0.0675","25.0","0.03","0.0493","1383844400","0.154",NA,NA,NA,"Plan covers local employees","4271031992",NA
"2018",2020,"Texas Municipal Retirement System","Texas","0.075","0.0701","Entry Age Normal","0.895","33609272000","34282893034",NA,"37535521883",NA,"1191723100","1.0",NA,NA,"Level Percent Open",NA,"900055000","62685940","68504162",NA,"10-years smoothed market value.","7283000000","479187524",NA,NA,NA,NA,"0.1332",NA,NA,2022,NA,"0.0675","0.0675","25.0",NA,"0.0453",NA,NA,NA,NA,NA,"Plan covers local employees","3926250080",NA
"2019",2001,"Texas Teacher Retirement System","Texas","-0.105","0.104","Entry Age Normal","1.025","86352000000","79427814814",NA,"84217000000",NA,"1279039985","1","1279396301","0.06","Level Percent Open","-3649116800","3648760000","-214434800","-20795129",NA,"5-year smoothed market","23365000000","1364689388","0.064","136247880",NA,"965202000","0.06",NA,NA,2002,NA,"0.08","0.08","100.0",NA,"-0.0028","2643729300","0.1268",NA,NA,NA,"Plan covers teachers","-2135000000",NA
"2020",2002,"Texas Teacher Retirement System","Texas","-0.078","0.015","Entry Age Normal","0.9632005552943284","86035000000","71695802361",NA,"89322000000",NA,"1619521613","0.8399999999999999","1359729851","0.06","Level Percent Open","-4344946500","4344256000","-186421060","-24597361",NA,"5-year smoothed market","24818000000","1450311521","0.064","157781530",NA,"1201258000","0.0715",NA,NA,2003,NA,"0.08","0.08","100.0",NA,"0.0088","2809350800","0.1267",NA,NA,NA,"Plan covers teachers","3287000000",NA
"2021",2003,"Texas Teacher Retirement System","Texas","0.11","0.057","Entry Age Normal","0.945","89033000000","77633002461",NA,"94263000000",NA,"1694080994","0.84","1422068354","0.06","Level Percent Open","-4729277500","4757425000","-186082670","-23428162",NA,"5-year smoothed market","25756000000","1516801535","0.064","182536230",NA,"1239070000","0.0739",NA,NA,2004,NA,"0.08","0.08","100.0","0.03","0.0133","2938408000","0.1246",NA,NA,NA,"Plan covers teachers","5230000000","0.04"
"2022",2004,"Texas Teacher Retirement System","Texas","0.119","0.026","Entry Age Normal","0.9177874029585371","88784000000","84202981707",NA,"96737000000",NA,"1766437660","0.81","1434701368","0.06","Level Percent Open","-5454381500","4757425000","-220396700","-24841301",NA,"5-year smoothed market","25485000000","1530276750","0.064","192395670",NA,"1239070000","0.0731",NA,NA,2005,NA,"0.08","0.08","100.0","0.03","0.0199","2964461500","0.1172",NA,NA,NA,"Plan covers teachers","7953000000","0.0425"
"2023",2005,"Texas Teacher Retirement System","Texas","0.144","0.034","Entry Age Normal","0.8712522562076199","89299000000","93707816093",NA,"102495000000",NA,"1801708659","0.82","1479756824","0.06","Level Percent Open","-5387605500","5491933000","-243382020","-25114717",NA,"5-year smoothed market","25957000000","1578339475","0.064","221158940",NA,"1241789000","0.0719",NA,NA,2006,NA,"0.08","0.08","30.0","0.03","0.0319","3057170000","0.104",NA,NA,NA,"Plan covers teachers","13196000000","0.0425"
"2024",2006,"Texas Teacher Retirement System","Texas","0.096","0.083","Entry Age Normal","0.8731083948809667","94218000000","100238963187",NA,"107911000000",NA,"1912840426","0.83","1600543061","0.06","Level Percent Open","-5582306500","5386679000","-265487470","-26444404",NA,"5-year smoothed market","28397000000","1700415419","0.064","267399630",NA,"1257672000","0.0702",NA,NA,2007,NA,"0.08","0.08","30.0","0.03","0.0302","3299916500","0.104",NA,NA,NA,"Plan covers teachers","13693000000","0.0425"
"2025",2007,"Texas Teacher Retirement System","Texas","0.144","0.125","Entry Age Normal","0.8918198751336621","103419000000","112128799849",NA,"115964000000",NA,"2046169635","0.85","1754662676","0.0658","Level Percent Open","-5807037000","5805583000","-277932220","-27502275",NA,"5-year smoothed market value.","31114000000","1862595865","0.064","282077720",NA,"1471131000","0.0647",NA,NA,2008,NA,"0.08","0.08","27.0","0.03","0.0247","3615805000","0.104",NA,NA,NA,"Plan covers teachers","12545000000","0.0425"
"2026",2008,"Texas Teacher Retirement System","Texas","-0.042","0.092","Entry Age Normal","0.9053524643346994","110233000000","104910497545",NA,"121757000000",NA,"2020032438","1.02","2057612528","0.0658","Level Percent Open","-6454687500","6453041000","-275482340","-26122662",NA,"5-year smoothed market value.","33238000000","1998138487","0.064","353524470",NA,"1702441000","0.061",NA,NA,2009,NA,"0.08","0.08","20.0","0.035","0.0208","4054104500","0.1042",NA,NA,NA,"Plan covers teachers","11524000000","0.0425"
"2027",2009,"Texas Teacher Retirement System","Texas","-0.135","-0.015","Entry Age Normal","0.8309367408946411","106384000000","88652971682",NA,"128029000000",NA,"2011474559","1.08","2171307905","0.064","Level Percent Open","-6343563500","6342010000","-266695060","-28310447",NA,"5-year smoothed market value.","35097000000","2107057870","0.064","412728090",NA,"1481844000","0.0772",NA,NA,2010,NA,"0.08","0.08","30.0","0.035","0.037","4276812500","0.1042",NA,NA,NA,"Plan covers teachers","21645000000","0.0425"
"2028",2010,"Texas Teacher Retirement System","Texas","0.107","0.069","Entry Age Normal","0.8293626249152327","111293000000","95688405009",NA,"134191000000",NA,"2661848481","0.86","2297983564","0.06644","Level Percent Open","-6669305000","6667800000","-265186590","-29992607",NA,"5-year smoothed market value.","36629000000","2205017425","0.064","412268500",NA,"1881405000","0.0777",NA,NA,2011,NA,"0.08","0.08","30.0","0.035","0.0375","4498690500","0.1042",NA,NA,NA,"Plan covers teachers","22898000000","0.0425"
"2029",2011,"Texas Teacher Retirement System","Texas","0.155","0.062","Entry Age Normal","0.8272834942396727","115253000000","107420786893",NA,"139315000000",NA,"2727717104","0.86","2350900705","0.06","Level Percent Open","-7240027500","7175255000","-334268810","-35849820",NA,"5-year smoothed market value.","36797000000","2247938330","0.064","411889810",NA,"1597477000","0.0813","12673765",NA,2012,NA,"0.08","0.08","30.0","0.035","0.0393","4704016000","0.106",NA,NA,NA,"Plan covers teachers","24062000000","0.0425"
"2030",2012,"Texas Teacher Retirement System","Texas","0.074","0.061","Entry Age Normal","0.8192789436878146","118326000000","111449887034",NA,"144427000000",NA,"2780976156","0.74","2073617853","0.064","Level Percent Open","-7797091500","7344751500","-381231340","-33073738",NA,"5-year smoothed market value.","35445000000","2191741435","0.064","369988440",NA,"1105556000","0.0862","15010530",NA,2013,NA,"0.08","0.08","30.0","0.035","0.0442","4391331000","0.106",NA,NA,NA,"Plan covers teachers","26101000000","0.0425"
"2031",2013,"Texas Teacher Retirement System","Texas","0.089","0.062","Entry Age Normal","0.807946052858641","121730000000","117388143859","117388143859","150666000000",NA,"3033664919","0.74","2276601700","0.0776","Level Percent Open","-8153242500","7923519000","-391292410","-36264063",NA,"5-year smoothed market value.","37104000000","2257287791","0.077","494416720",NA,"1937190000","0.0867","16445676",NA,2014,NA,"0.08","0.08","28.0","0.035","0.0606","4682290500","0.1031",NA,NA,NA,"Plan covers teachers","28936000000",NA
"2032",2014,"Texas Teacher Retirement System","Texas","0.168","0.089","Entry Age Normal","0.8023069809292909","128398000000","132779243085","132779243085","160036000000","159496075886","3177927000","0.79145","2534890365","0.0776","Level Percent Open","-8631080000","8322480500","-410600310","-39185094",NA,"5-year smoothed market value.","38522000000","2357686000","0.077","851936810",NA,"1981533000","0.0866","12408677",NA,2015,NA,"0.08","0.08","29.0","0.035","0.0593","5036110500","0.1043",NA,NA,NA,"Plan covers teachers","31638000000",NA
"2033",2015,"Texas Teacher Retirement System","Texas","-0.003","0.07","Entry Age Normal","0.8019380846244886","133485000000","128538706212","128538706212","166453000000","163887375172","3171970300","0.93616","2990661182","0.077","Level Percent Open","-9021387000","8734950000","-391341190","-32923203",NA,"5-year smoothed market value.","39620000000","2576024311","0.077","924216310",NA,"1650831000","0.0792","360677340",NA,2016,NA,"0.08","0.08","33.0","0.025","0.0559","5616774500","0.1003",NA,NA,NA,"Plan covers teachers","32968000000",NA
"2034",2016,"Texas Teacher Retirement System","Texas","0.073","0.069","Entry Age Normal","0.7965266100012053","138786000000","134008637473","134008637473","174239000000","171797150487","3226831800","0.97899","3182971474","0.077","Level Percent Open","-9471551000","9213165000","-373418690","-39826004",NA,"5-year smoothed market value.","42376000000","2943669320","0.077","992916810",NA,"1780345000","0.0794","385758280",NA,2017,NA,"0.08","0.08","33.0","0.025","0.0559","6164030500","0.1005",NA,NA,NA,"Plan covers teachers","35453000000",NA
"2035",2017,"Texas Teacher Retirement System","Texas","0.129","0.073","Entry Age Normal","0.804839534973288","146282000000","147361922120","147361922120","181753000000","179336534819","3343623000","0.98285","3311246281","0.077","Level Percent Open","-9872106000","9622519000","-420421060","-39422246",NA,"5-year smoothed market value.","43164000000","3242556261","0.077","1030095300",NA,NA,"0.0785","429500530",NA,2018,NA,"0.08","0.08","34.0","0.025","0.0549","6608895500","0.1006",NA,NA,NA,"Plan covers teachers","35471000000","0.03"
