"","year","plan_name","state","return_1yr","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"2037","2014","Virginia Retirement System","Virginia","0.157","Entry Age Normal","0.69618","57144567000","62207257000","82083384000","64294672000","2282942000","0.75785",NA,NA,"Level Percent Open","-3711208000","3632652000","-98015000","-39785000",NA,"15671359000","701363000","0.0498","1736259000",NA,"605161000","0.1517",NA,NA,NA,NA,"0.07",NA,"30.0","0.03","0.1088","2531090000","0.0927",NA,NA,"Plan covers state and local employees","24938817000","0.035"
"2038","2015","Virginia Retirement System","Virginia","0.047","Entry Age Normal","0.7328899999999999","62083601000","64074092000","84711142000","85386606000","2506841000","0.8346",NA,NA,"Level Percent Closed","-3935656000","3854951000","-100680000","-38898000",NA,"15901380000","745161000","0.0492","2281784000",NA,"771268000","0.1446",NA,NA,NA,NA,"0.07",NA,"30.0","0.03","0.1028","3077951000","0.091",NA,NA,"Plan covers state and local employees","22627541000",NA
"2039","2016","Virginia Retirement System","Virginia","0.019","Entry Age Normal","0.74845","65203736000","63954159000","87118992000","87958007000","2527802000","0.86185",NA,NA,"Level Percent Closed","-4169852000","4033957000","-97687000","-39695000",NA,"16325998000","788969000","0.0486","2328902000",NA,"722617000","0.1317",NA,NA,NA,NA,"0.07",NA,"30.0","0.03","0.0922","3141334000","0.0881",NA,NA,"Plan covers state and local employees","21915256000",NA
"2040","2017","Virginia Retirement System","Virginia","0.121","Entry Age Normal","0.77032","69214246000","70159680000","89851284000","90598936000","2317424000","0.9437399999999999",NA,NA,"Level Percent Closed","-4324025000","4241621000","-112426000","-44955000",NA,"16764876000","832642000","0.0468","2150963000",NA,NA,"0.1352",NA,NA,NA,NA,"0.07",NA,"30.0","0.03","0.0891","2983720000","0.0929",NA,NA,"Plan covers state and local employees","20637038000",NA
"2041","2018","Virginia Retirement System","Virginia","0.075","Entry Age Normal","0.78567","73204795000","73754573000","93174818000","93123111000","2384905000","1.0",NA,NA,"Level Percent Closed","-4548751000","4497849000","-112139000","-44661000",NA,"17614448000","834750000","0.0464","2331431000",NA,"564813000000","0.1336",NA,NA,NA,NA,"0.07",NA,"30.0","0.03","0.0886","3166181000","0.0914",NA,NA,"Plan covers state and local employees","19970023000",NA
"2042","2019","Virginia Retirement System","Virginia","0.067","Entry Age Normal","0.78567","73204795000","77392855000","93174818000","99299941000","2398514000","1.0",NA,NA,"Level Percent Closed","-4774864000","4497849000","-112169000","-48586000",NA,"17703609000","953343000","0.0464","2399465000",NA,NA,"0.1336",NA,NA,NA,NA,"0.07",NA,"30.0",NA,NA,"3352808000","0.0914",NA,NA,"Plan covers state and local employees","19970023000",NA
"2043","2001","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","-0.0596","Aggregate Cost","1.54413","2575600000","2359628902","1668000000",NA,"33800000","1.55",NA,NA,NA,"-1726516","2000000","-8342811","-1450414",NA,"831000000","52939535","0.0505","31450436",NA,NA,"0.0505",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0","105354783","0.101",NA,NA,"Plan covers police and/or fire","-907600000","0.045"
"2044","2002","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","-0.064","Aggregate Cost","1.3660299999999999","2646000000","2271704048","1937000000",NA,"43700000","0.91",NA,NA,NA,"-2742712","3000000","-9142897","-1477268",NA,"902000000","39400888","0.0641","23996574",NA,NA,"0.0641",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0","79033172","0.1282",NA,NA,"Plan covers police and/or fire","-709000000","0.045"
"2045","2003","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.0415","Aggregate Cost","1.24904","2740400000","2444878000","2194000000",NA,"56800000","0.74",NA,NA,NA,"-4058474","5000000","-5124356","-1527799",NA,"967000000","41371860","0.072","25582678",NA,NA,"0.072",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0","83575370","0.144",NA,NA,"Plan covers police and/or fire","-546400000","0.045"
"2046","2004","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.1606","Aggregate Cost","1.1691","2947300000","2927571000","2521000000",NA,"69200000","0.74",NA,NA,NA,"-6043000","8000000","-5720000","-1490000",NA,"1020000000","50698000","0.076","30773000",NA,NA,"0.076",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0","102289000","0.152",NA,NA,"Plan covers police and/or fire","-426300000","0.045"
"2047","2005","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.1334","Aggregate Cost","1.13544","3329100000","3412383000","2932000000",NA,"80800000","0.67",NA,NA,NA,"-8978000","11000000","-7765000","-1659000",NA,"1092000000","53913000","0.081","32780000",NA,NA,"0.081",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0","108604000","0.162",NA,NA,"Plan covers police and/or fire","-397100000","0.045"
"2048","2006","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.1669","Aggregate Cost","1.15673","3843800000","4129074000","3323000000",NA,"101300000","0.79",NA,NA,NA,"-14433000","17000000","-7115000","-1842000",NA,"1172000000","79780000","0.077","48472000",NA,NA,"0.0777",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0","162222000","0.1547",NA,NA,"Plan covers police and/or fire","-520800000","0.045"
"2049","2007","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.2133","Aggregate Cost","1.288","4360000000","5186217000","3386000000",NA,"94900000","1.01",NA,NA,NA,"-20813000","22000000","-7995000","-2073000",NA,"1234000000","95552000","0.076","58191000",NA,NA,"0.076",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0","193506000","0.152",NA,NA,"Plan covers police and/or fire","-974000000","0.045"
"2050","2008","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","-0.0124","Aggregate Cost","1.334","5053000000","5316430000","3786000000",NA,"102100000","1.17",NA,NA,NA,"-27505000","29000000","-7639000","-2298000",NA,"1345000000","115567000","0.0723","73364000",NA,NA,"0.0723",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0","235730000","0.1446",NA,NA,"Plan covers police and/or fire","-1266000000","0.045"
"2051","2009","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","-0.2284","Aggregate Cost","1.279","5564000000","4308880000","4349000000",NA,"105300000","1.22",NA,NA,NA,"-36615000","38000000","-7223000","-2288000",NA,"1443000000","128206000","0.074","77849000",NA,NA,"0.074",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0","259373000","0.148",NA,NA,"Plan covers police and/or fire","-1215000000","0.045"
"2052","2010","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.1322","Aggregate Cost","1.19","6043000000","5081657000","5078000000",NA,"112200000","1.14",NA,NA,NA,"-46158000","49000000","-10947000","-3416000",NA,"1490000000","128154000","0.0737","76998000",NA,NA,"0.0737",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0","261497000","0.1474",NA,NA,"Plan covers police and/or fire","-965000000","0.045"
"2053","2011","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.2114","Aggregate Cost","1.187","6621000000","6366083000","5576000000",NA,"84000000","1.57",NA,NA,NA,"-61876000","65000000","-8181000","-3309000",NA,"1535000000","131252000","0.0757","79733000",NA,NA,"0.0757",NA,NA,NA,NA,"0.079",NA,NA,NA,"0.0","268305000","0.1514",NA,NA,"Plan covers police and/or fire","-1044000000","0.0375"
"2054","2012","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.014","Aggregate Cost","1.189","7222000000","6640693000","6071000000",NA,"97300000","1.37",NA,NA,NA,"-78153000","82000000","-11214000","-3672000",NA,"1560000000","132584000","0.0774","80480000",NA,NA,"0.0774",NA,NA,NA,NA,"0.075",NA,NA,NA,"0.0","272369000","0.1548",NA,NA,"Plan covers police and/or fire","-1150000000","0.0375"
"2055","2013","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.1236","Aggregate Cost","1.146","7862000000","7637387000","6859000000","7219549000","94700000","1.4429",NA,NA,NA,"-100532000","105000000","-8677000","-2566000",NA,"1597000000","135797000","0.0797","82397000",NA,NA,"0.0797",NA,NA,NA,NA,"0.078",NA,NA,NA,"0.0","280420000","0.1594",NA,NA,"Plan covers police and/or fire","-1003000000","0.0375"
"2056","2014","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.1706","Aggregate Cost","1.07","8638000000","9251256000","8069000000","7923759000","141696000","0.99567",NA,NA,NA,"-124921000","130435200","-9028000","-4192000",NA,"1661000000","140921000","0.0791","85532000",NA,NA,"0.0474",NA,NA,NA,NA,"0.075",NA,NA,"0.0375","-0.0317","292124000","0.1582",NA,NA,"Plan covers police and/or fire","-569000000","0.0375"
"2057","2015","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.0493","Aggregate Cost","1.05","9320200000","9833649000","8838500000","8804869000","147438000","1.00016",NA,NA,NA,"-151486000","151485000","-8541000","-4668000",NA,"1743000000","146679000","0.0788","89122000",NA,"147461000","0.0473",NA,NA,NA,NA,"0.075",NA,NA,NA,"-0.0315","313233000","0.1576",NA,NA,"Plan covers police and/or fire","-481700000","0.0375"
"2058","2016","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.0265","Aggregate Cost","1.05","10021000000","10211360000","9571000000","9628990000","151718000","1.00465",NA,NA,NA,"-184067000","184067000","-6645000","-5305000",NA,"1786000000","151659000","0.0791","92049000",NA,"152424000","0.0475",NA,NA,NA,NA,"0.075",NA,NA,NA,"-0.0316","326295000","0.1582",NA,NA,"Plan covers police and/or fire","-450000000","0.0375"
"2059","2017","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.1344","Aggregate Cost","1.09","11037000000","11776198000","10160000000","10388451000","150049000","1.05349",NA,NA,NA,"-219715000",NA,"-7292000","-6759000",NA,"1879000000","158316000","0.0859","95920000",NA,NA,"0.0515",NA,NA,NA,NA,"0.075",NA,NA,NA,"-0.0344","346053000","0.1718",NA,NA,"Plan covers police and/or fire","-877000000","0.0375"
"2060","2018","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.102","Aggregate Cost","1.08","11972000000","13006366000","11066000000","10975334000","156741000","1.11379",NA,NA,NA,"-259609000","259609000000","-8550000","-6514000",NA,"1982000000","173993000","0.0867","106424000",NA,"106424000000","0.052",NA,NA,NA,NA,"0.074",NA,NA,NA,"-0.0347","371806000","0.1734",NA,NA,"Plan covers police and/or fire","-906000000",NA
"2061","2019","Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2","Washington","0.0836","Aggregate Cost","1.08","11972000000","14240056000","11066000000","11921772000","170551000","1.10341",NA,NA,NA,"-304872000",NA,"-9087000","-7180000",NA,"2150705000","188113000","0.0867","115882000",NA,NA,"0.052",NA,NA,NA,NA,"0.074",NA,NA,NA,NA,"393226000","0.1734",NA,NA,"Plan covers police and/or fire","-906000000",NA
"2062","2001","Washington School Employees’ Retirement System","Washington","-0.0596","Aggregate Cost","1.97015","1471700000","1304177725","747000000",NA,"6700000","2.97",NA,NA,NA,"-284949","1000000","-1397241","-1098129",NA,"1004000000","14168004","0.011","19938785",NA,"0","0.0174",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0064","34156068","0.022",NA,NA,"Plan covers state and local employees","-724700000","0.045"
"2063","2002","Washington School Employees’ Retirement System","Washington","-0.064","Aggregate Cost","1.68966","1519000000","1242688238","899000000",NA,"19500000","0.58",NA,NA,NA,"-2047984","3000000","-2396716","-1117582",NA,"1086000000","5171199","0.0249","11312441",NA,"0","0.0364",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0115","16582349","0.0498",NA,NA,"Plan covers state and local employees","-620000000","0.045"
"2064","2003","Washington School Employees’ Retirement System","Washington","0.0415","Aggregate Cost","1.47098","1546000000","1301297585","1051000000",NA,"44200000","0.14",NA,NA,NA,"-4304647","5000000","-2220548","-1112672",NA,"1133000000","1827565","0.0351","6153596",NA,"0","0.0756",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.021","8066612","0.0897",NA,NA,"Plan covers state and local employees","-495000000","0.045"
"2065","2004","Washington School Employees’ Retirement System","Washington","0.1606","Aggregate Cost","1.3686","1630000000","1510394000","1191000000",NA,"52300000","0.17",NA,NA,NA,"-6692000","8000000","-2025000","-1080000",NA,"1168000000","3501000","0.0341","9076000",NA,"9076000","0.0564",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0223","12868000","0.0682",NA,NA,"Plan covers state and local employees","-439000000","0.045"
"2066","2005","Washington School Employees’ Retirement System","Washington","0.1334","Aggregate Cost","1.2194","1747400000","1715855000","1433000000",NA,"64000000","0.16",NA,NA,NA,"-10114000","12000000","-2191000","-990000",NA,"1201000000","4166000","0.0382","10160000",NA,"10160000","0.0857",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0297","14585000","0.0942",NA,NA,"Plan covers state and local employees","-314400000","0.045"
"2067","2006","Washington School Employees’ Retirement System","Washington","0.1669","Aggregate Cost","1.2536","1934300000","2031738000","1543000000",NA,"81400000","0.37",NA,NA,NA,"-13500000","16000000","-2477000","-1069000",NA,"1243000000","11818000","0.042","30419000",NA,"30419000","0.0808",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.03","42395000","0.0928",NA,NA,"Plan covers state and local employees","-391300000","0.045"
"2068","2007","Washington School Employees’ Retirement System","Washington","0.2133","Aggregate Cost","1.262","2133000000","2512498000","1691000000",NA,"71500000","0.64",NA,NA,NA,"-17641000","18000000","-2516000","-1124000",NA,"1283000000","17371000","0.04","45950000",NA,"45950000","0.0812",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0312","63433000","0.09",NA,NA,"Plan covers state and local employees","-443000000","0.045"
"2069","2008","Washington School Employees’ Retirement System","Washington","-0.0124","Aggregate Cost","1.208","2303000000","2443537000","1906000000",NA,"75800000","0.69",NA,NA,NA,"-22627000","23000000","-2045000","-1267000",NA,"1380000000","20726000","0.0351","52139000",NA,"52139000","0.0579",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0128","73050000","0.0802",NA,NA,"Plan covers state and local employees","-397000000","0.045"
"2070","2009","Washington School Employees’ Retirement System","Washington","-0.2284","Aggregate Cost","1.157","2503000000","1943812000","2163000000",NA,"71500000","0.89",NA,NA,NA,"-28307000","29000000","-2125000","-1327000",NA,"1467000000","26062000","0.0408","63526000",NA,"63526000","0.0883",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0375","89790000","0.0916",NA,NA,"Plan covers state and local employees","-340000000","0.045"
"2071","2010","Washington School Employees’ Retirement System","Washington","0.1322","Aggregate Cost","1.125","2664000000","2237385000","2368000000",NA,"82300000","0.75",NA,NA,NA,"-34449000","35000000","-2125000","-1384000",NA,"1475000000","20105000","0.0437","62090000",NA,"62090000","0.0876",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0339","82317000","0.0974",NA,NA,"Plan covers state and local employees","-296000000","0.045"
"2072","2011","Washington School Employees’ Retirement System","Washington","0.2114","Aggregate Cost","1.102","2872000000","2746456000","2607000000",NA,"88600000","0.7",NA,NA,NA,"-43338000","44000000","-2492000","-1484000",NA,"1490000000","19247000","0.0464","62316000",NA,"62316000","0.0964",NA,NA,NA,NA,"0.079",NA,NA,NA,"0.04","81732000","0.1028",NA,NA,"Plan covers state and local employees","-265000000","0.0375"
"2073","2012","Washington School Employees’ Retirement System","Washington","0.014","Aggregate Cost","1.099","3100000000","2827286000","2820000000",NA,"85200000","0.88",NA,NA,NA,"-53630000","54000000","-2516000","-1403000",NA,"1479000000","24095000","0.0459","74640000",NA,"74640000","0.098",NA,NA,NA,NA,"0.079",NA,NA,NA,"0.0421","98957000","0.1018",NA,NA,"Plan covers state and local employees","-280000000","0.0375"
"2074","2013","Washington School Employees’ Retirement System","Washington","0.1236","Aggregate Cost","1.019","3335000000","3211900000","3273000000","3734712000","86600000","0.9053100000000001",NA,NA,NA,"-66426000","67000000","-2655000","-137000",NA,"1514000000","26018000","0.067","78400000",NA,"78399000","0.1288",NA,NA,NA,NA,"0.078",NA,NA,NA,"0.0518","105127000","0.144",NA,NA,"Plan covers state and local employees","-62000000","0.0375"
"2075","2014","Washington School Employees’ Retirement System","Washington","0.1706","Aggregate Cost","0.91","3623800000","3856353000","3965000000","4066004000","90064000","0.9857799999999999",NA,NA,NA,"-81216000","81824188","-2732000","-1543000",NA,"1591000000","31305000","0.0696","88783000",NA,"88783000","0.1307",NA,NA,NA,NA,"0.078",NA,NA,NA,"0.0511","120640000","0.1492",NA,NA,"Plan covers state and local employees","341200000","0.0375"
"2076","2015","Washington School Employees’ Retirement System","Washington","0.0493","Aggregate Cost","0.89","3900600000","4067855000","4381000000","4473428000","94736000","1.02797",NA,NA,NA,"-96184000","97215555","-2891000","-1644000",NA,"1697000000","34939000","0.078","97386000",NA,"97386000","0.1402",NA,NA,NA,NA,"0.077",NA,NA,NA,"0.0522","132831000","0.166",NA,NA,"Plan covers state and local employees","480900000","0.0375"
"2077","2016","Washington School Employees’ Retirement System","Washington","0.0265","Aggregate Cost","0.87","4181000000","4214481000","4826000000","4870806000","144599000","0.79862",NA,NA,NA,"-112753000","113605630","-2494000","-1782000",NA,"1860000000","45946000","0.0846","115480000",NA,"115480000","0.1451",NA,NA,NA,NA,"0.077",NA,NA,NA,"0.0505","162635000","0.1792",NA,NA,"Plan covers state and local employees","645000000","0.0375"
"2078","2017","Washington School Employees’ Retirement System","Washington","0.1344","Aggregate Cost","0.88","4613000000","4863722000","5242000000","5357035000","157080000","0.8577",NA,NA,NA,"-130039000","131226310","-3227000","-1460000",NA,"2012000000","51627000","0.0825","134727000",NA,NA,"0.1301",NA,NA,NA,NA,"0.075",NA,NA,NA,"0.0476","187128000","0.165",NA,NA,"Plan covers state and local employees","629000000","0.0375"
"2079","2018","Washington School Employees’ Retirement System","Washington","0.102","Aggregate Cost","0.89","5131000000","5421010000","5748000000","5719600000","194785000","0.90633",NA,NA,NA,"-151456000","152771390","-3741000","-1346000",NA,"2179000000","69827000","0.0802","176539000",NA,"176539000000","0.121",NA,NA,NA,NA,"0.075",NA,NA,NA,"0.0408","247300000","0.1604",NA,NA,"Plan covers state and local employees","617000000",NA
"2080","2019","Washington School Employees’ Retirement System","Washington","0.0836","Aggregate Cost","0.89","5131000000","6119152000","5748000000","6352843000","214285000","0.93616",NA,NA,NA,"-176012000","152771390","-4592000","-1580000",NA,"2435061000","79864000","0.0802","200604000",NA,NA,"0.121",NA,NA,NA,NA,"0.075",NA,NA,NA,NA,"281241000","0.1604",NA,NA,"Plan covers state and local employees","617000000",NA
"2081","2001","Washington State Patrol Retirement System","Washington","-0.0596","Aggregate Cost","1.7914299999999999","11031600000","10162327350","6158000000",NA,"55600000","2.07",NA,NA,NA,"-50797924","57000000","-48311241","-6638444",NA,"5249000000","116564445","0.0141","115039002",NA,"0","0.0205",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0064","232484320","0.0282",NA,NA,"Plan covers state and local employees","-4873600000","0.045"
"2082","2002","Washington State Patrol Retirement System","Washington","-0.064","Aggregate Cost","1.57899","10700800000","9472788732","6777000000",NA,"72000000","0.71",NA,NA,NA,"-60551539","68000000","-42086743","-6270538",NA,"5661000000","48579196","0.0263","50953227",NA,"0","0.0378",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0115","103509258","0.0526",NA,NA,"Plan covers state and local employees","-3923800000","0.045"
"2083","2003","Washington State Patrol Retirement System","Washington","0.0415","Aggregate Cost","1.42549","10842300000","9199275927","7606000000",NA,"141700000","0.27",NA,NA,NA,"-72459996","81000000","-30835245","-6054241",NA,"5930000000","34498036","0.0338","38287504",NA,"1000","0.0573",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.021","74955361","0.0701",NA,NA,"Plan covers state and local employees","-3236300000","0.045"
"2084","2004","Washington State Patrol Retirement System","Washington","0.1606","Aggregate Cost","1.3442","11431100000","10651561000","8504000000",NA,"192600000","0.36",NA,NA,NA,"-86174000","96000000","-27082000","-5779000",NA,"6221000000","60953000","0.0342","69377000",NA,"0","0.0565",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0223","133247000","0.0684",NA,NA,"Plan covers state and local employees","-2927100000","0.045"
"2085","2005","Washington State Patrol Retirement System","Washington","0.1334","Aggregate Cost","1.27021","12274000000","12077580000","9663000000",NA,"227700000","0.33",NA,NA,NA,"-102742000","114000000","-24086000","-5960000",NA,"6445000000","63806000","0.0392","74720000",NA,"0","0.0711",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0297","141929000","0.0806",NA,NA,"Plan covers state and local employees","-2611000000","0.045"
"2086","2006","Washington State Patrol Retirement System","Washington","0.1669","Aggregate Cost","1.2131399999999999","13528900000","14228088000","11152000000",NA,"307600000","0.49",NA,NA,NA,"-121096000","135000000","-26476000","-6599000",NA,"6771000000","127800000","0.0462","149579000",NA,"3133000","0.0772",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.03","280962000","0.0934",NA,NA,"Plan covers state and local employees","-2376900000","0.045"
"2087","2007","Washington State Patrol Retirement System","Washington","0.2133","Aggregate Cost","1.199","14888000000","17563085000","12418000000",NA,"331300000","0.73",NA,NA,NA,"-143802000","150000000","-26465000","-7344000",NA,"7157000000","207144000","0.0461","242544000",NA,"3278000","0.0784",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0312","454215000","0.0933",NA,NA,"Plan covers state and local employees","-2470000000","0.045"
"2088","2008","Washington State Patrol Retirement System","Washington","-0.0124","Aggregate Cost","1.187","16693000000","17665520000","14065000000",NA,"363300000","0.88",NA,NA,NA,"-170317000","179000000","-26574000","-9889000",NA,"7869000000","268573000","0.0445","318740000",NA,"6064000","0.0584",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0128","597185000","0.0901",NA,NA,"Plan covers state and local employees","-2627000000","0.045"
"2089","2009","Washington State Patrol Retirement System","Washington","-0.2284","Aggregate Cost","1.163","18260000000","14178698000","15701000000",NA,"369700000","1.19",NA,NA,NA,"-207319000","219000000","-26442000","-8277000",NA,"8132000000","368127000","0.0459","439744000",NA,"6371000","0.0845",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0375","814092000","0.0929",NA,NA,"Plan covers state and local employees","-2560000000","0.045"
"2090","2010","Washington State Patrol Retirement System","Washington","0.1322","Aggregate Cost","1.127","19474000000","16368663000","17272000000",NA,"383100000","0.85",NA,NA,NA,"-251765000","268000000","-31425000","-8643000",NA,"8206000000","264231000","0.0491","327460000",NA,"5271000","0.0841",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0339","599010000","0.0993",NA,NA,"Plan covers state and local employees","-2202000000","0.045"
"2091","2011","Washington State Patrol Retirement System","Washington","0.2114","Aggregate Cost","1.116","20997000000","20098636000","18815000000",NA,"408600000","0.8",NA,NA,NA,"-310943000","331000000","-33686000","-8325000",NA,"8148000000","263885000","0.0492","328258000",NA,"5251000","0.0903",NA,NA,NA,NA,"0.079",NA,NA,NA,"0.04","610550000","0.0995",NA,NA,"Plan covers state and local employees","-2182000000","0.0375"
"2092","2012","Washington State Patrol Retirement System","Washington","0.014","Aggregate Cost","1.113","22653000000","20679788000","20347000000",NA,"407700000","0.94",NA,NA,NA,"-376999000","401000000","-35716000","-9082000",NA,"8193000000","310160000","0.0483","385253000",NA,"6454000","0.0915",NA,NA,NA,NA,"0.079",NA,NA,NA,"0.0421","711382000","0.0977",NA,NA,"Plan covers state and local employees","-2306000000","0.0375"
"2093","2013","Washington State Patrol Retirement System","Washington","0.1236","Aggregate Cost","1.023","24335000000","23459058000","23798000000","27729076000","408300000","0.95278",NA,NA,NA,"-460074000","491000000","-35679000","-10560000",NA,"8339000000","315755000","0.07","389020000",NA,"6478000","0.1229",NA,NA,NA,NA,"0.078",NA,NA,NA,"0.0518","724607000","0.1411",NA,NA,"Plan covers state and local employees","-537000000","0.0375"
"2094","2014","Washington State Patrol Retirement System","Washington","0.1706","Aggregate Cost","0.9","26386300000","28100301000","29321300000","30120170000","441677000","0.97434",NA,NA,NA,"-565660000","47143000","-35202000","-9977000",NA,"8718700000","346270000","0.0726","430345000",NA,"6587000","0.1248",NA,NA,NA,NA,"0.078",NA,NA,NA,"0.0511","798596000","0.1463",NA,NA,"Plan covers state and local employees","2935000000","0.0375"
"2095","2015","Washington State Patrol Retirement System","Washington","0.0493","Aggregate Cost","0.88","28292300000","29515161000","32007600000","33085016000","462098000","0.96544",NA,NA,NA,"-665408000","49772000","-35497000","-10591000",NA,"8984400000","355350000","0.0792","446127000",NA,"6679000","0.1325",NA,NA,NA,NA,"0.077",NA,NA,NA,"0.0522","820952000","0.1595",NA,NA,"Plan covers state and local employees","3715300000","0.0375"
"2096","2016","Washington State Patrol Retirement System","Washington","0.0265","Aggregate Cost","0.87","30262000000","30485052000","34759000000","35517545000","662898000","0.8498",NA,NA,NA,"-776213000","53651000","-36302000","-12023000",NA,"9502000000","472528000","0.0834","563328000",NA,"7044000","0.135",NA,NA,NA,NA,"0.077",NA,NA,NA,"0.0505","1060601000","0.1679",NA,NA,"Plan covers state and local employees","4497000000","0.0375"
"2097","2017","Washington State Patrol Retirement System","Washington","0.1344","Aggregate Cost","0.89","33191000000","35001233000","37166000000","38475325000","700769000","0.88749",NA,NA,NA,"-894229000",NA,"-37374000","-14218000",NA,"10016000000","486407000","0.079","621927000",NA,NA,"0.1268",NA,NA,NA,NA,"0.075",NA,NA,NA,"0.0476","1140493000","0.1582",NA,NA,"Plan covers state and local employees","3975000000","0.0375"
"2098","2018","Washington State Patrol Retirement System","Washington","0.102","Aggregate Cost","0.91","36607000000","38687962000","40024000000","40392728000","836652000","0.9305200000000001",NA,NA,NA,"-1033728000","59508000000","-42277000","-13774000",NA,"10530000000","601333000","0.0746","778525000",NA,"14203000000","0.1156",NA,NA,NA,NA,"0.075",NA,NA,NA,"0.0408","1414932000","0.1494",NA,NA,"Plan covers state and local employees","3423000000",NA
"2099","2019","Washington State Patrol Retirement System","Washington","0.0836","Aggregate Cost","0.91","36607000000","42536796000","40024000000","43503168000","883433000","0.9284100000000001",NA,NA,NA,"-1196473000",NA,"-47782000","-15108000",NA,"10960712000","641756000","0.0746","820188000",NA,NA,"0.1156",NA,NA,NA,NA,"0.075",NA,NA,NA,NA,"1488924000","0.1494",NA,NA,"Plan covers state and local employees","3423000000",NA
"2100","2001","Washington Teachers Retirement System Plan 2 & 3","Washington","-0.0596","Aggregate Cost","1.97396","3547200000","3266102990","1797000000",NA,"40400000","1.72",NA,NA,NA,"-6810245","8000000","-3870813","-3052504",NA,"2350000000","11077546","0.012","69579331",NA,NA,"0.0222",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0072","80821687","0.027",NA,NA,"Plan covers teachers","-1750200000","0.045"
"2101","2002","Washington Teachers Retirement System Plan 2 & 3","Washington","-0.064","Aggregate Cost","1.82264","3800200000","3079118036","2085000000",NA,"66700000","0.7",NA,NA,NA,"-8668822","10000000","-4510463","-3107915",NA,"2523000000","5433722","0.0171","46358793",NA,NA,"0.0319",NA,NA,NA,NA,"0.08",NA,NA,NA,"0.0121","51962502","0.0369",NA,NA,"Plan covers teachers","-1715200000","0.045"
